Date,Symbol,Open,High,Low,Close,Deliverable Volume
2020-11-10,BLKASHYAP,6.1,6.1,6.1,6.1,45071
2020-11-11,BLKASHYAP,6.4,6.4,6.05,6.4,67799
2020-11-12,BLKASHYAP,6.4,6.7,6.4,6.7,54785
2020-11-13,BLKASHYAP,7.0,7.0,6.5,7.0,51326
2020-11-14,BLKASHYAP,7.35,7.35,7.15,7.35,55737
2020-11-17,BLKASHYAP,7.5,7.7,7.5,7.7,230469
2020-11-18,BLKASHYAP,8.05,8.05,8.05,8.05,46970
2020-11-19,BLKASHYAP,8.45,8.45,8.1,8.45,134136
2020-11-20,BLKASHYAP,8.5,8.5,8.05,8.05,168241
2020-11-23,BLKASHYAP,7.9,8.05,7.65,7.65,77606
2020-11-24,BLKASHYAP,7.8,7.8,7.3,7.3,85665
2020-11-25,BLKASHYAP,7.2,7.3,6.95,7.0,190884
2020-11-26,BLKASHYAP,7.05,7.35,7.05,7.35,334037
2020-11-27,BLKASHYAP,7.45,7.7,7.2,7.7,69363
2020-12-01,BLKASHYAP,7.85,8.05,7.75,8.05,92597
2020-12-02,BLKASHYAP,8.1,8.1,7.75,8.0,65720
2020-12-03,BLKASHYAP,7.8,8.1,7.75,8.0,38451
2020-12-04,BLKASHYAP,8.05,8.2,7.85,7.9,72271
2020-12-07,BLKASHYAP,7.6,8.25,7.6,7.95,52289
2020-12-08,BLKASHYAP,8.25,8.25,7.6,7.7,113961
2020-12-09,BLKASHYAP,7.7,8.05,7.7,7.9,97609
2020-12-10,BLKASHYAP,7.65,8.0,7.65,7.85,62334
2020-12-11,BLKASHYAP,7.65,8.1,7.65,7.75,68858
2020-12-14,BLKASHYAP,7.95,8.05,7.75,7.85,100492
2020-12-15,BLKASHYAP,8.15,8.2,7.65,7.85,97964
2020-12-16,BLKASHYAP,7.95,8.2,7.8,8.2,694576
2020-12-17,BLKASHYAP,8.6,8.6,8.6,8.6,101203
2020-12-18,BLKASHYAP,8.9,9.0,8.2,8.4,313260
2020-12-21,BLKASHYAP,8.7,8.8,8.0,8.2,217138
2020-12-22,BLKASHYAP,7.9,8.3,7.8,8.2,116774
2020-12-23,BLKASHYAP,8.3,8.5,8.0,8.35,123035
2020-12-24,BLKASHYAP,8.75,8.75,8.3,8.75,262780
2020-12-28,BLKASHYAP,9.05,9.15,8.9,9.1,151585
2020-12-29,BLKASHYAP,9.35,9.55,9.2,9.55,179993
2020-12-30,BLKASHYAP,9.55,10.0,9.55,10.0,326173
2020-12-31,BLKASHYAP,10.5,10.5,10.45,10.5,97991
2021-01-01,BLKASHYAP,10.95,11.0,10.9,11.0,121718
2021-01-04,BLKASHYAP,11.4,11.55,11.4,11.55,132677
2021-01-05,BLKASHYAP,12.1,12.1,11.65,12.1,320811
2021-01-06,BLKASHYAP,12.45,12.7,11.5,11.5,594566
2021-01-07,BLKASHYAP,11.5,11.7,10.95,11.35,278326
2021-01-08,BLKASHYAP,11.6,11.9,11.05,11.9,367733
2021-01-11,BLKASHYAP,12.4,12.45,11.45,12.35,327309
2021-01-12,BLKASHYAP,12.75,12.75,11.75,11.8,236186
2021-01-13,BLKASHYAP,12.0,12.15,11.4,11.7,98933
2021-04-27,BLKASHYAP,17.0,17.05,15.55,15.85,473997
2021-04-28,BLKASHYAP,15.75,16.5,15.25,15.35,121437
2021-04-29,BLKASHYAP,15.5,16.1,15.2,16.1,84637
2021-04-30,BLKASHYAP,16.0,16.5,15.5,15.75,115032
2021-05-03,BLKASHYAP,15.8,15.8,15.0,15.05,111117
2021-05-04,BLKASHYAP,15.3,15.75,15.15,15.25,54856
2021-05-05,BLKASHYAP,15.0,15.9,14.8,15.65,56348
2021-05-06,BLKASHYAP,16.1,16.4,15.8,16.3,147256
2021-05-07,BLKASHYAP,16.45,17.1,16.1,16.75,206956
2021-05-10,BLKASHYAP,16.55,17.55,16.55,17.5,239347
2021-05-11,BLKASHYAP,17.45,17.9,16.8,17.6,216849
2021-05-12,BLKASHYAP,17.9,18.0,17.1,17.8,246819
2021-05-14,BLKASHYAP,17.8,18.0,17.1,17.2,176648
2021-05-17,BLKASHYAP,17.55,17.65,16.4,17.25,181582
2021-05-18,BLKASHYAP,17.95,17.95,17.0,17.5,125715
2021-05-19,BLKASHYAP,17.9,18.35,17.1,17.5,224283
2021-05-20,BLKASHYAP,17.95,18.0,17.0,17.15,164280
2021-05-21,BLKASHYAP,17.1,17.3,16.75,16.95,112899
2021-05-24,BLKASHYAP,17.0,17.75,16.9,17.4,233188
2021-05-25,BLKASHYAP,17.75,18.25,17.4,18.25,316562
2021-05-26,BLKASHYAP,18.7,19.15,18.35,19.15,180379
2021-05-27,BLKASHYAP,19.85,20.1,19.2,20.05,725168
2021-05-28,BLKASHYAP,20.9,21.0,19.05,19.15,430508
2021-05-31,BLKASHYAP,19.55,19.55,18.3,18.4,156291
2021-06-01,BLKASHYAP,18.45,18.45,17.7,18.0,174737
2021-06-02,BLKASHYAP,18.3,18.3,17.5,18.0,173348
2021-06-03,BLKASHYAP,18.05,18.9,18.05,18.85,228846
2021-06-04,BLKASHYAP,19.15,19.75,18.6,19.6,424093
2021-06-07,BLKASHYAP,20.95,21.55,19.45,21.0,1227130
2021-06-08,BLKASHYAP,21.35,23.1,20.0,22.7,1460289
2021-06-09,BLKASHYAP,22.8,24.4,22.0,22.65,1058343
2021-06-10,BLKASHYAP,22.55,24.45,22.2,23.85,682555
2021-06-11,BLKASHYAP,24.45,25.45,23.5,24.15,448736
2021-06-14,BLKASHYAP,24.1,26.25,22.3,25.9,734827
2021-06-15,BLKASHYAP,26.4,28.45,25.9,28.45,1388276
2021-06-16,BLKASHYAP,29.45,29.5,27.5,28.5,1066695
2021-06-17,BLKASHYAP,28.4,29.9,27.1,28.05,1150434
2021-06-18,BLKASHYAP,28.5,29.25,26.65,27.1,744426
2021-06-21,BLKASHYAP,26.0,28.45,26.0,28.4,691915
2021-06-22,BLKASHYAP,29.25,29.8,27.6,29.25,969656
2021-06-23,BLKASHYAP,29.1,29.25,27.8,27.8,577794
2021-06-24,BLKASHYAP,26.45,27.0,26.45,26.45,620593
2021-06-25,BLKASHYAP,25.15,25.15,25.15,25.15,231196
2021-06-28,BLKASHYAP,23.9,26.3,23.9,25.4,840836
2021-06-29,BLKASHYAP,25.9,26.65,25.45,25.9,428648
