Date,Symbol,Open,High,Low,Close,Deliverable Volume
2021-11-18,SAPPHIRE,1350.0,1380.05,1160.0,1211.55,3731575
2021-11-22,SAPPHIRE,1225.0,1258.0,1045.65,1172.05,904886
2021-11-23,SAPPHIRE,1165.0,1194.0,1128.05,1148.95,191865
2021-11-24,SAPPHIRE,1153.7,1217.7,1143.4,1159.95,320815
2021-11-25,SAPPHIRE,1172.0,1227.0,1166.85,1193.8,228606
2021-11-26,SAPPHIRE,1184.0,1184.0,1106.65,1113.55,231552
2021-11-29,SAPPHIRE,1105.0,1106.5,980.0,992.45,368256
2021-11-30,SAPPHIRE,1000.0,1037.7,974.45,1020.35,389632
2021-12-01,SAPPHIRE,1047.8,1049.0,1000.1,1034.05,102623
2021-12-02,SAPPHIRE,1050.0,1079.0,1018.85,1065.8,111577
2021-12-03,SAPPHIRE,1066.0,1093.5,1051.15,1071.6,89759
2021-12-06,SAPPHIRE,1074.0,1099.25,1044.15,1060.35,87594
2021-12-07,SAPPHIRE,1064.0,1154.0,1055.0,1124.4,252922
2021-12-08,SAPPHIRE,1130.0,1173.0,1124.55,1155.95,133451
2021-12-09,SAPPHIRE,1165.0,1221.95,1155.2,1181.45,190336
2021-12-10,SAPPHIRE,1181.0,1214.65,1163.85,1207.65,99527
2021-12-13,SAPPHIRE,1212.8,1219.0,1195.8,1209.3,159580
2021-12-14,SAPPHIRE,1188.0,1238.9,1188.0,1229.1,202663
2021-12-15,SAPPHIRE,1220.3,1234.1,1176.1,1188.0,203092
2021-12-16,SAPPHIRE,1155.0,1218.5,1155.0,1208.15,209638
2021-12-17,SAPPHIRE,1196.0,1264.95,1192.05,1223.6,331063
2021-12-20,SAPPHIRE,1191.0,1213.15,1174.8,1196.55,96911
2021-12-21,SAPPHIRE,1193.0,1211.65,1183.4,1194.25,182484
2021-12-22,SAPPHIRE,1199.0,1226.2,1195.15,1221.65,104606
2021-12-23,SAPPHIRE,1224.0,1227.0,1180.5,1194.35,30516
2021-12-24,SAPPHIRE,1199.85,1212.0,1183.0,1193.4,37391
2021-12-27,SAPPHIRE,1187.95,1200.1,1127.8,1199.05,51040
2021-12-28,SAPPHIRE,1200.05,1219.0,1195.15,1203.55,137520
2021-12-29,SAPPHIRE,1201.0,1246.0,1196.0,1204.35,55830
2021-12-30,SAPPHIRE,1205.0,1209.55,1190.25,1199.9,24108
2021-12-31,SAPPHIRE,1201.0,1227.0,1201.0,1219.15,37857
