Date,Symbol,Open,High,Low,Close,Volume,Deliverable Volume
2020-08-26,AUROPHARMA,874.45,874.45,858.0,867.9,2118054,730532
2020-08-27,AUROPHARMA,868.95,886.0,866.0,876.6,3767697,977167
2020-08-28,AUROPHARMA,883.0,885.25,865.7,868.9,2336680,771676
2020-08-31,AUROPHARMA,870.9,878.4,800.75,808.9,5587765,1783980
2020-09-01,AUROPHARMA,809.0,827.8,776.25,816.95,5142299,1172339
2020-09-02,AUROPHARMA,821.0,833.0,802.3,815.45,2760736,374937
2020-09-03,AUROPHARMA,816.0,837.0,812.05,826.6,2619589,522386
2020-09-04,AUROPHARMA,814.0,837.6,802.5,807.55,3145943,711685
2020-09-07,AUROPHARMA,812.0,816.75,782.3,794.05,2557919,508064
2020-09-08,AUROPHARMA,799.2,812.0,779.15,786.35,3345296,468632
2020-09-09,AUROPHARMA,783.85,806.5,771.9,801.85,3669098,686357
2020-09-10,AUROPHARMA,809.9,818.95,794.65,802.75,3481936,683373
2020-09-11,AUROPHARMA,802.0,809.2,790.35,802.95,2239995,392541
2020-09-14,AUROPHARMA,806.5,815.0,791.25,796.15,2438228,595083
2020-09-15,AUROPHARMA,800.0,840.95,798.1,818.8,8183286,1743551
2020-09-16,AUROPHARMA,844.0,851.35,823.1,832.1,9548142,937661
2020-09-17,AUROPHARMA,826.95,827.0,807.0,810.8,2941750,789046
2020-09-18,AUROPHARMA,815.65,840.0,815.65,828.1,6249036,1800712
2020-09-21,AUROPHARMA,835.0,857.9,785.8,792.35,7597196,1095355
2020-09-22,AUROPHARMA,798.25,812.0,768.0,799.1,5714064,1225839
2020-09-23,AUROPHARMA,810.0,813.65,771.3,780.2,3832372,750411
2020-09-24,AUROPHARMA,775.0,777.5,738.05,743.75,4339275,881100
2020-09-25,AUROPHARMA,754.0,783.7,746.25,772.1,4844749,1105491
2020-09-28,AUROPHARMA,779.8,803.9,768.0,800.7,3315484,492485
2020-09-29,AUROPHARMA,805.0,809.9,790.35,796.55,3107037,598548
2020-09-30,AUROPHARMA,796.55,820.0,791.25,796.5,4224666,514941
